module style:300ZI; drdy:True;   burst read:True; single read:False 
time:  0.423054;  status:                   0 ; gyro:                         0.125, -0.015625, 0.09375;  accel:                    0.002, 0.029, 0.9985; temp:32.096667592741525; mag:          
time:  0.427882;  status:                   0 ; gyro:                      0.109375, -0.03125, 0.078125;  accel:                0.00175, 0.02925, 0.9985; temp:32.096667592741525; mag:          
time:  0.432694;  status:                   0 ; gyro:                        0.09375, -0.0625, 0.046875;  accel:                    0.0015, 0.029, 0.999; temp:32.096667592741525; mag:          
time:  0.437508;  status:                   0 ; gyro:                        0.09375, -0.0625, 0.015625;  accel:                   0.001, 0.02875, 0.999; temp:32.096667592741525; mag:          
time:  0.442319;  status:                   0 ; gyro:                          0.109375, -0.046875, 0.0;  accel:                 0.00075, 0.029, 0.99825; temp:32.096667592741525; mag:          
time:  0.447124;  status:                   0 ; gyro:                             0.125, -0.046875, 0.0;  accel:                  0.00025, 0.029, 0.9975; temp:32.096667592741525; mag:          
time:  0.451936;  status:                   0 ; gyro:                        0.140625, -0.0625, 0.03125;  accel:                     0.0, 0.02925, 0.997; temp:32.096667592741525; mag:          
time:  0.456788;  status:                   0 ; gyro:                           0.125, -0.0625, 0.03125;  accel:               -0.00025, 0.0295, 0.99675; temp:32.096667592741525; mag:          
time:  0.461563;  status:                   0 ; gyro:                     0.078125, -0.078125, 0.046875;  accel:               -0.00025, 0.02925, 0.9965; temp:32.096667592741525; mag:          
time:  0.466378;  status:                   0 ; gyro:                       0.03125, -0.09375, 0.046875;  accel:              -0.00025, 0.02925, 0.99575; temp:32.096667592741525; mag:          
time:  0.471168;  status:                   0 ; gyro:                            0.0, -0.109375, 0.0625;  accel:                   0.0, 0.02925, 0.99525; temp:32.096667592741525; mag:          
time:  0.476024;  status:                   0 ; gyro:                     -0.046875, -0.09375, 0.046875;  accel:                   0.0, 0.02925, 0.99525; temp:32.096667592741525; mag:          
time:  0.480798;  status:                   0 ; gyro:                     -0.09375, -0.078125, 0.046875;  accel:               0.00025, 0.02925, 0.99575; temp:32.096667592741525; mag:          
time:  0.485638;  status:                   0 ; gyro:                      -0.15625, -0.078125, 0.03125;  accel:                  0.0005, 0.0295, 0.9965; temp:32.096667592741525; mag:          
time:  0.490428;  status:                   0 ; gyro:                        -0.1875, -0.09375, 0.03125;  accel:                 0.00075, 0.02925, 0.997; temp:32.096667592741525; mag:          
time:  0.495295;  status:                   0 ; gyro:                        -0.1875, -0.09375, 0.03125;  accel:                  0.001, 0.02875, 0.9975; temp:32.096667592741525; mag:          
time:  0.500048;  status:                   0 ; gyro:                     -0.171875, -0.078125, 0.03125;  accel:                  0.001, 0.0285, 0.99775; temp:32.096667592741525; mag:          
time:  0.504906;  status:                   0 ; gyro:                        -0.15625, -0.0625, 0.03125;  accel:                   0.001, 0.0285, 0.9975; temp:32.096667592741525; mag:          
time:  0.509668;  status:                   0 ; gyro:                          -0.125, -0.0625, 0.03125;  accel:                   0.001, 0.02875, 0.997; temp:32.096667592741525; mag:          
time:  0.514543;  status:                   0 ; gyro:                     -0.078125, -0.09375, 0.015625;  accel:                    0.001, 0.029, 0.9965; temp:32.096667592741525; mag:          
time:  0.519298;  status:                   0 ; gyro:                       -0.015625, -0.125, 0.015625;  accel:                     0.001, 0.029, 0.996; temp:32.096667592741525; mag:          
time:  0.524139;  status:                   0 ; gyro:                      0.03125, -0.140625, 0.015625;  accel:                 0.00075, 0.029, 0.99625; temp:32.096667592741525; mag:          
time:  0.528918;  status:                   0 ; gyro:                      0.09375, -0.140625, 0.015625;  accel:                 0.00075, 0.029, 0.99675; temp:32.096667592741525; mag:          
time:  0.533768;  status:                   0 ; gyro:                         0.15625, -0.125, 0.015625;  accel:                 0.00075, 0.029, 0.99775; temp:32.096667592741525; mag:          
time:  0.538553;  status:                   0 ; gyro:                               0.1875, -0.125, 0.0;  accel:                  0.0005, 0.029, 0.99775; temp:32.096667592741525; mag:          
time:  0.543405;  status:                   0 ; gyro:                          0.203125, -0.109375, 0.0;  accel:                 0.00025, 0.0285, 0.9975; temp:32.096667592741525; mag:          
time:  0.548181;  status:                   0 ; gyro:                           0.21875, -0.109375, 0.0;  accel:                    0.0, 0.02825, 0.9975; temp:32.096667592741525; mag:          
time:  0.553055;  status:                   0 ; gyro:                              0.21875, -0.125, 0.0;  accel:                 0.00025, 0.0285, 0.9975; temp:32.096667592741525; mag:          
time:  0.557818;  status:                   0 ; gyro:                     0.234375, -0.140625, 0.015625;  accel:                   0.00075, 0.029, 0.997; temp:32.096667592741525; mag:          
time:  0.562649;  status:                   0 ; gyro:                     0.234375, -0.140625, 0.046875;  accel:                0.00125, 0.0295, 0.99675; temp:32.096667592741525; mag:          
time:  0.567460;  status:                   0 ; gyro:                      0.21875, -0.109375, 0.046875;  accel:                     0.0015, 0.03, 0.997; temp:32.096667592741525; mag:          
time:  0.572337;  status:                   0 ; gyro:                       0.1875, -0.078125, 0.046875;  accel:                   0.0015, 0.03, 0.99725; temp:32.096667592741525; mag:          
time:  0.577077;  status:                   0 ; gyro:                        0.125, -0.078125, 0.046875;  accel:                0.0015, 0.02975, 0.99725; temp:32.096667592741525; mag:          
time:  0.581942;  status:                   0 ; gyro:                      0.078125, -0.09375, 0.046875;  accel:                0.0015, 0.02925, 0.99675; temp:32.096667592741525; mag:          
time:  0.586722;  status:                   0 ; gyro:                       0.03125, -0.109375, 0.03125;  accel:                  0.00175, 0.029, 0.9965; temp:32.096667592741525; mag:          
time:  0.591550;  status:                   0 ; gyro:                             0.0, -0.125, 0.015625;  accel:                 0.00175, 0.029, 0.99625; temp:32.096667592741525; mag:          
time:  0.596356;  status:                   0 ; gyro:                             -0.03125, -0.125, 0.0;  accel:                 0.0015, 0.02925, 0.9965; temp:32.096667592741525; mag:          
time:  0.601161;  status:                   0 ; gyro:                              -0.0625, -0.125, 0.0;  accel:                 0.00125, 0.02975, 0.997; temp:32.096667592741525; mag:          
time:  0.605984;  status:                   0 ; gyro:                            -0.078125, -0.125, 0.0;  accel:                  0.001, 0.03025, 0.9975; temp:32.096667592741525; mag:          
time:  0.610813;  status:                   0 ; gyro:                        -0.09375, -0.125, 0.015625;  accel:                 0.001, 0.03025, 0.99725; temp:32.096667592741525; mag:          
time:  0.615587;  status:                   0 ; gyro:                         -0.09375, -0.125, 0.03125;  accel:                    0.00125, 0.03, 0.997; temp:32.096667592741525; mag:          
time:  0.620458;  status:                   0 ; gyro:                         -0.09375, -0.125, 0.03125;  accel:               0.00125, 0.02925, 0.99675; temp:32.096667592741525; mag:          
time:  0.625221;  status:                   0 ; gyro:                       -0.078125, -0.125, 0.046875;  accel:                  0.00125, 0.0285, 0.997; temp:32.096667592741525; mag:          
time:  0.630074;  status:                   0 ; gyro:                         -0.0625, -0.125, 0.046875;  accel:                  0.00125, 0.028, 0.9975; temp:32.096667592741525; mag:          
time:  0.634861;  status:                   0 ; gyro:                       -0.03125, -0.109375, 0.0625;  accel:                   0.001, 0.028, 0.99725; temp:32.096667592741525; mag:          
time:  0.639711;  status:                   0 ; gyro:                            0.0, -0.109375, 0.0625;  accel:                   0.001, 0.02825, 0.997; temp:32.096667592741525; mag:          
time:  0.644524;  status:                   0 ; gyro:                        0.03125, -0.109375, 0.0625;  accel:               0.00075, 0.02825, 0.99675; temp:32.096667592741525; mag:          
